fips,2019_units,2020_Units ,Yr_Grwth,Percent_Growth
12001,18767,24726,5959,0.317525444
12005,5689,7987,2298,0.403937423
12009,20705,24351,3646,0.176092731
12011,56180,78714,22534,0.401103596
12015,6498,8151,1653,0.254385965
12017,2978,3865,887,0.297850907
12019,3151,4556,1405,0.445890194
12021,29402,39580,10178,0.346166927
12023,833,1197,364,0.43697479
12027,-4,199,203,-50.75
12031,30930,39881,8951,0.289395409
12033,9717,13040,3323,0.341977977
12035,5276,5964,688,0.13040182
12039,1193,955,-238,-0.199497066
12053,3339,4717,1378,0.412698413
12055,1072,1647,575,0.536380597
12057,53194,63093,9899,0.186092416
12061,11606,13283,1677,0.144494227
12069,8772,12429,3657,0.416894665
12071,34780,47581,12801,0.368056354
12073,12348,17151,4803,0.388969874
12081,28253,34187,5934,0.210030793
12083,6536,8592,2056,0.314565483
12085,13045,14732,1687,0.129321579
12086,65401,82838,17437,0.266616718
12087,9281,10744,1463,0.157633876
12089,8024,10136,2112,0.263210369
12091,10909,12509,1600,0.146667889
12095,35113,46475,11362,0.323583858
12097,5803,6402,599,0.103222471
12099,75170,99352,24182,0.321697486
12101,7651,11050,3399,0.444255653
12103,47651,56505,8854,0.185809322
12105,11072,15431,4359,0.393695809
12107,371,526,155,0.417789757
12109,19444,22385,2941,0.151254886
12111,4580,6568,1988,0.434061135
12113,5325,5999,674,0.12657277
12115,37608,47791,10183,0.270766858
12117,14179,19519,5340,0.376613301
12119,5051,6392,1341,0.265491982
12121,398,548,150,0.376884422
12127,17158,19894,2736,0.159459144
12131,6829,7756,927,0.135744619
13009,1000,1480,480,0.48
13013,1114,1530,416,0.373429084
13015,1664,1778,114,0.068509615
13021,4989,6306,1317,0.263980758
13029,1776,2382,606,0.341216216
13035,78,74,-4,-0.051282051
13039,953,1015,62,0.065057712
13045,2236,3406,1170,0.523255814
13047,740,730,-10,-0.013513514
13051,14283,17839,3556,0.248967304
13053,1064,1070,6,0.005639098
13055,18,35,17,0.944444444
13057,14207,19537,5330,0.375167171
13059,14600,18635,4035,0.276369863
13063,142,231,89,0.626760563
13067,44408,62974,18566,0.418077824
13071,-61,363,424,-6.950819672
13073,6134,7690,1556,0.25366808
13077,5071,6203,1132,0.223230132
13083,102,129,27,0.264705882
13085,2568,3552,984,0.38317757
13089,59101,77240,18139,0.306915281
13095,538,642,104,0.19330855
13097,2744,3918,1174,0.427842566
13103,839,1364,525,0.625744934
13105,84,105,21,0.25
13111,581,913,332,0.571428571
13113,8659,11611,2952,0.340916965
13115,2097,2784,687,0.327610873
13117,8519,12205,3686,0.432679892
13121,89642,122460,32818,0.366100712
13123,421,562,141,0.334916865
13127,5496,6672,1176,0.213973799
13129,309,696,387,1.252427184
13133,1426,2293,867,0.60799439
13135,30442,40396,9954,0.326982458
13137,487,524,37,0.075975359
13139,6505,9575,3070,0.471944658
13143,47,88,41,0.872340426
13147,104,141,37,0.355769231
13151,3131,4309,1178,0.376237624
13153,3249,4525,1276,0.392736227
13157,1830,2914,1084,0.592349727
13159,42,28,-14,-0.333333333
13163,1,123,122,122
13169,139,129,-10,-0.071942446
13171,28,104,76,2.714285714
13175,633,877,244,0.385466035
13177,198,355,157,0.792929293
13179,452,802,350,0.774336283
13185,1393,2097,704,0.505384063
13195,68,150,82,1.205882353
13199,-4,32,36,-9
13207,68,91,23,0.338235294
13211,162,258,96,0.592592593
13213,62,92,30,0.483870968
13215,3324,4239,915,0.275270758
13217,1744,2652,908,0.520642202
13219,1836,2092,256,0.139433551
13223,2777,4034,1257,0.452646741
13225,277,343,66,0.238267148
13227,951,1712,761,0.800210305
13233,251,140,-111,-0.442231076
13237,32,58,26,0.8125
13241,437,546,109,0.249427918
13245,3417,4299,882,0.258121159
13247,1475,2099,624,0.423050847
13255,999,1469,470,0.47047047
13257,144,220,76,0.527777778
13275,1110,894,-216,-0.194594595
13277,321,483,162,0.504672897
13281,292,305,13,0.044520548
13285,656,705,49,0.074695122
13291,433,659,226,0.521939954
13293,44,68,24,0.545454545
13297,2401,3165,764,0.31820075
13299,308,635,327,1.061688312
13311,373,401,28,0.075067024
13313,1305,1802,497,0.380842912
13317,32,30,-2,-0.0625
15001,32225,37479,5254,0.163041117
15003,92849,100288,7439,0.080119334
15007,21775,16781,-4994,-0.22934558
15009,37917,29897,-8020,-0.211514624
16001,93917,125135,31218,0.332399885
16005,3980,5456,1476,0.370854271
16013,21107,26362,5255,0.248969536
16017,9714,13762,4048,0.416718139
16019,5682,7156,1474,0.259415699
16021,1353,1808,455,0.336289727
16027,9572,12965,3393,0.354471375
16039,605,1003,398,0.65785124
16045,633,1103,470,0.742496051
16055,26476,31237,4761,0.179823236
16057,3349,4924,1575,0.470289639
16069,1813,2097,284,0.156646442
16073,260,612,352,1.353846154
16075,386,679,293,0.759067358
16083,5021,6384,1363,0.271459869
16085,2758,5558,2800,1.015228426
17001,214,315,101,0.471962617
17019,11380,14121,2741,0.24086116
17021,254,408,154,0.606299213
17029,-1,,1,-1
17031,234241,329896,95655,0.408361474
17037,1700,2489,789,0.464117647
17043,58481,77243,18762,0.320822147
17057,15,,-15,-1
17063,1673,1954,281,0.167961745
17077,1720,2479,759,0.44127907
17081,340,635,295,0.867647059
17089,18762,22229,3467,0.184788402
17091,1292,2763,1471,1.138544892
17093,3621,4940,1319,0.364264015
17095,39,93,54,1.384615385
17097,60288,69123,8835,0.146546576
17099,1634,2374,740,0.452876377
17109,97,123,26,0.268041237
17111,12529,15676,3147,0.251177269
17113,6772,7633,861,0.12714117
17115,2189,2855,666,0.304248515
17119,4568,6615,2047,0.448117338
17121,118,73,-45,-0.381355932
17133,693,980,287,0.414141414
17143,3450,4955,1505,0.436231884
17161,1231,2006,775,0.629569456
17163,4970,6744,1774,0.35694165
17165,87,146,59,0.67816092
17167,4470,4279,-191,-0.042729306
17177,365,888,523,1.432876712
17179,2848,3899,1051,0.369030899
17181,36,434,398,11.05555556
17183,563,838,275,0.488454707
17197,17877,22074,4197,0.234770935
17199,810,1509,699,0.862962963
17201,6853,6579,-274,-0.039982489
18001,178,371,193,1.084269663
18003,12639,17424,4785,0.378590078
18005,2036,3144,1108,0.544204322
18011,3180,4465,1285,0.40408805
18019,1774,2759,985,0.55524239
18021,179,328,149,0.832402235
18029,681,1249,568,0.834067548
18033,591,981,390,0.659898477
18035,1464,2298,834,0.569672131
18039,1557,1956,399,0.256262042
18041,10,378,368,36.8
18043,3197,4641,1444,0.451673444
18047,936,1176,240,0.256410256
18049,217,542,325,1.497695853
18053,802,968,166,0.206982544
18057,22117,33098,10981,0.496495908
18059,1402,1296,-106,-0.075606277
18063,5699,6801,1102,0.193367257
18065,240,581,341,1.420833333
18067,1701,2541,840,0.49382716
18069,428,650,222,0.518691589
18073,263,138,-125,-0.475285171
18077,3,247,244,81.33333333
18081,4523,6826,2303,0.509175326
18085,1409,1986,577,0.409510291
18089,9400,11487,2087,0.222021277
18091,2267,2500,233,0.102779003
18095,1612,2223,611,0.379032258
18097,25026,35523,10497,0.419443778
18099,343,542,199,0.580174927
18103,145,323,178,1.227586207
18105,10580,14487,3907,0.369281664
18107,492,811,319,0.648373984
18109,977,1653,676,0.691914023
18113,380,575,195,0.513157895
18127,7150,8270,1120,0.156643357
18133,617,975,358,0.580226904
18139,30,,-30,-1
18141,6387,7255,868,0.135901049
18145,570,535,-35,-0.061403509
18151,952,811,-141,-0.148109244
18157,8184,11938,3754,0.458699902
18163,4788,6055,1267,0.264619883
18167,1227,1590,363,0.295843521
18173,579,829,250,0.431778929
18177,943,1315,372,0.394485684
18179,82,,-82,-1
18181,193,624,431,2.233160622
18183,406,571,165,0.406403941
19013,1262,1725,463,0.366877971
19033,813,1173,360,0.442804428
19041,69,158,89,1.289855072
19045,61,250,189,3.098360656
19047,12,26,14,1.166666667
19049,838,1253,415,0.49522673
19057,181,315,134,0.740331492
19061,718,1139,421,0.586350975
19067,126,150,24,0.19047619
19073,31,31,0,0
19079,66,57,-9,-0.136363636
19087,26,26,0,0
19101,6,,-6,-1
19103,2640,3056,416,0.157575758
19113,3374,4188,814,0.241256669
19121,5,,-5,-1
19127,186,260,74,0.397849462
19137,10,42,32,3.2
19145,43,185,142,3.302325581
19153,10382,12838,2456,0.236563283
19155,671,992,321,0.478390462
19163,2427,3179,752,0.309847548
19169,2597,2756,159,0.06122449
19171,1,,-1,-1
19187,264,416,152,0.575757576
19193,643,765,122,0.189735614
19197,1,,-1,-1
20009,295,242,-53,-0.179661017
20015,1311,1935,624,0.47597254
20035,172,488,316,1.837209302
20037,125,302,177,1.416
20045,6942,10280,3338,0.480841256
20051,660,642,-18,-0.027272727
20055,334,409,75,0.224550898
20059,360,218,-142,-0.394444444
20061,262,481,219,0.835877863
20079,804,1056,252,0.313432836
20091,36177,45847,9670,0.267296901
20103,2575,2577,2,0.000776699
20113,298,255,-43,-0.144295302
20121,242,413,171,0.70661157
20155,1427,1649,222,0.155571128
20161,4630,6659,2029,0.438228942
20169,1819,1241,-578,-0.317757009
20173,13033,15047,2014,0.154530806
20177,3060,5095,2035,0.66503268
20209,790,1405,615,0.778481013
21005,215,433,218,1.013953488
21013,292,312,20,0.068493151
21015,5345,9792,4447,0.831992516
21019,695,1278,583,0.838848921
21021,711,1129,418,0.58790436
21029,938,1411,473,0.504264392
21037,6202,10556,4354,0.702031603
21041,108,289,181,1.675925926
21047,1724,1971,247,0.143271462
21049,492,454,-38,-0.077235772
21059,2272,3545,1273,0.560299296
21067,16832,28035,11203,0.665577471
21073,1347,2489,1142,0.847809948
21093,2115,1766,-349,-0.16501182
21107,369,628,259,0.701897019
21111,34527,50997,16470,0.477017986
21113,1994,3513,1519,0.761785356
21117,4238,5698,1460,0.344502124
21125,87,529,442,5.08045977
21145,25,,-25,-1
21147,52,98,46,0.884615385
21151,1612,2797,1185,0.735111663
21155,41,70,29,0.707317073
21161,527,870,343,0.65085389
21163,345,705,360,1.043478261
21167,18,6,-12,-0.666666667
21173,267,291,24,0.08988764
21179,709,1080,371,0.523272214
21185,1076,1049,-27,-0.025092937
21199,958,947,-11,-0.011482255
21205,418,464,46,0.110047847
21209,1501,2406,905,0.602931379
21211,722,1109,387,0.53601108
21217,282,488,206,0.730496454
21227,4069,5836,1767,0.434259032
21235,167,516,349,2.089820359
21239,1349,2189,840,0.622683469
22001,-2,,2,-1
22015,834,988,154,0.184652278
22017,2876,4475,1599,0.555980529
22019,498,854,356,0.714859438
22033,3822,5435,1613,0.422030351
22045,34,,-34,-1
22051,2865,3005,140,0.04886562
22055,4540,6101,1561,0.343832599
22061,104,,-104,-1
22067,-19,,19,-1
22069,87,,-87,-1
22071,4002,5379,1377,0.344077961
22073,271,,-271,-1
22079,664,1192,528,0.795180723
22083,-15,,15,-1
22097,8,,-8,-1
22099,33,,-33,-1
22103,2293,3449,1156,0.504143044
22105,216,322,106,0.490740741
22113,25,,-25,-1
23001,5061,4538,-523,-0.103339261
23005,60954,75853,14899,0.244430226
23007,1495,1639,144,0.09632107
23009,5590,5314,-276,-0.049373882
23011,12135,12552,417,0.034363412
23013,7627,9034,1407,0.184476203
23015,6687,7090,403,0.060266188
23017,1862,2129,267,0.1433942
23019,7011,7352,341,0.048637855
23023,6620,6193,-427,-0.064501511
23025,667,668,1,0.00149925
23027,2307,2561,254,0.110099697
23031,25082,32559,7477,0.298102225
24001,3196,2959,-237,-0.074155194
24003,55983,77352,21369,0.38170516
24005,88267,106823,18556,0.210225792
